GEO_ID,NAME,S1501_C01_006E,S1501_C01_015E
47001,"Anderson County, Tennessee",53973,12661
47003,"Bedford County, Tennessee",31370,5106
47005,"Benton County, Tennessee",11823,1484
47007,"Bledsoe County, Tennessee",11151,1433
47009,"Blount County, Tennessee",91726,22022
47011,"Bradley County, Tennessee",70942,15569
47013,"Campbell County, Tennessee",28540,3397
47015,"Cannon County, Tennessee",9985,1380
47017,"Carroll County, Tennessee",19392,3326
47019,"Carter County, Tennessee",41563,6964
47021,"Cheatham County, Tennessee",27794,5443
47023,"Chester County, Tennessee",10998,1800
47025,"Claiborne County, Tennessee",22591,3432
47027,"Clay County, Tennessee",5595,818
47029,"Cocke County, Tennessee",25408,2738
47031,"Coffee County, Tennessee",37095,7266
47033,"Crockett County, Tennessee",9846,1281
47035,"Cumberland County, Tennessee",44437,8118
47037,"Davidson County, Tennessee",469943,189249
47039,"Decatur County, Tennessee",8344,1064
47041,"DeKalb County, Tennessee",13958,2187
47043,"Dickson County, Tennessee",35558,5478
47045,"Dyer County, Tennessee",25465,4310
47047,"Fayette County, Tennessee",28923,6269
47049,"Fentress County, Tennessee",12736,1733
47051,"Franklin County, Tennessee",28358,5876
47053,"Gibson County, Tennessee",33235,5929
47055,"Giles County, Tennessee",20590,3116
47057,"Grainger County, Tennessee",16516,1744
47059,"Greene County, Tennessee",49378,7564
47061,"Grundy County, Tennessee",9339,1132
47063,"Hamblen County, Tennessee",43649,7024
47065,"Hamilton County, Tennessee",250470,78191
47067,"Hancock County, Tennessee",4783,551
47069,"Hardeman County, Tennessee",18176,2064
47071,"Hardin County, Tennessee",18584,2590
47073,"Hawkins County, Tennessee",40657,5701
47075,"Haywood County, Tennessee",12312,1550
47077,"Henderson County, Tennessee",19334,2666
47079,"Henry County, Tennessee",23346,3986
47081,"Hickman County, Tennessee",17309,1900
47083,"Hoton County, Tennessee",5752,609
47085,"Humphreys County, Tennessee",13036,1733
47087,"Jackson County, Tennessee",8574,772
47089,"Jefferson County, Tennessee",37486,6159
47091,"Johnson County, Tennessee",13568,1538
47093,"Knox County, Tennessee",304091,111579
47095,"Lake County, Tennessee",5661,591
47097,"Lauderdale County, Tennessee",17932,1570
47099,"Lawrence County, Tennessee",28888,3604
47101,"Lewis County, Tennessee",8440,970
47103,"Lincoln County, Tennessee",23743,4454
47105,"Loudon County, Tennessee",37764,9921
47107,"McMinn County, Tennessee",37212,5880
47109,"McNairy County, Tennessee",18151,2310
47111,"Macon County, Tennessee",15821,1586
47113,"Madison County, Tennessee",64890,16810
47115,"Marion County, Tennessee",20293,2355
47117,"Marshall County, Tennessee",22158,3179
47119,"Maury County, Tennessee",61854,13498
47121,"Meigs County, Tennessee",8589,903
47123,"Monroe County, Tennessee",32369,4142
47125,"Montgomery County, Tennessee",121101,32983
47127,"Moore County, Tennessee",4553,942
47129,"Morgan County, Tennessee",15651,1145
47131,"Obion County, Tennessee",21372,3194
47133,"Overton County, Tennessee",15396,2019
47135,"Perry County, Tennessee",5571,642
47137,"Pickett County, Tennessee",3822,332
47139,"Polk County, Tennessee",12198,1344
47141,"Putnam County, Tennessee",49030,12473
47143,"Rhea County, Tennessee",22054,3349
47145,"Roane County, Tennessee",38937,7579
47147,"Robertson County, Tennessee",46897,8712
47149,"Rutherford County, Tennessee",191804,61339
47151,"Scott County, Tennessee",14883,1392
47153,"Sequatchie County, Tennessee",10507,1531
47155,"Sevier County, Tennessee",68380,11714
47157,"Shelby County, Tennessee",609836,189720
47159,"Smith County, Tennessee",13445,1663
47161,"Stewart County, Tennessee",9525,1415
47163,"Sullivan County, Tennessee",113841,25934
47165,"Sumner County, Tennessee",122537,33020
47167,"Tipton County, Tennessee",40804,6809
47169,"Trodale County, Tennessee",6585,1108
47171,"Unicoi County, Tennessee",13175,1953
47173,"Union County, Tennessee",13615,1162
47175,"Van Buren County, Tennessee",4247,363
47177,"Warren County, Tennessee",27721,3879
47179,"Washington County, Tennessee",86775,28075
47181,"Wayne County, Tennessee",12196,1363
47183,"Weakley County, Tennessee",21485,4629
47185,"White County, Tennessee",18661,2525
47187,"Williamson County, Tennessee",141690,83611
47189,"Wilson County, Tennessee",90948,27857