FIPS,State,County,MRKT Value,SNAP/MRKT,SNAP_18_County,SNAP_18_Value
37001,NC,Alamance,4,0.25,Alamance,1
37003,NC,Alexander,1,0,Alexander,0
37005,NC,Alleghany,1,0,Alleghany,0
37007,NC,Anson,2,0,Anson,0
37009,NC,Ashe,1,1,Ashe,1
37011,NC,Avery,1,0,Avery,0
37013,NC,Beaufort,1,0,Beaufort,0
37015,NC,Bertie,0,,Bertie,0
37017,NC,Bladen,0,,Bladen,0
37019,NC,Brunswick,2,0,Brunswick,0
37021,NC,Buncombe,17,0.235,Buncombe,4
37023,NC,Burke,3,0.667,Burke,2
37025,NC,Cabarrus,5,0,Cabarrus,0
37027,NC,Caldwell,3,0.333,Caldwell,1
37029,NC,Camden,0,,Camden,0
37031,NC,Carteret,2,0,Carteret,0
37033,NC,Caswell,1,1,Caswell,1
37035,NC,Catawba,7,0.143,Catawba,1
37037,NC,Chatham,4,0,Chatham,0
37039,NC,Cherokee,2,0.5,Cherokee,1
37041,NC,Chowan,1,1,Chowan,1
37043,NC,Clay,1,0,Clay,0
37045,NC,Cleveland,2,0.5,Cleveland,1
37047,NC,Columbus,2,0,Columbus,0
37049,NC,Craven,2,0.5,Craven,1
37051,NC,Cumberland,1,0,Cumberland,0
37053,NC,Currituck,0,,Currituck,0
37055,NC,Dare,2,0,Dare,0
37057,NC,Davidson,3,0,Davidson,0
37059,NC,Davie,3,0,Davie,0
37061,NC,Duplin,0,,Duplin,0
37063,NC,Durham,6,0.333,Durham,2
37065,NC,Edgecombe,1,0,Edgecombe,0
37067,NC,Forsyth,7,0.143,Forsyth,1
37069,NC,Franklin,1,0,Franklin,0
37071,NC,Gaston,5,0,Gaston,0
37073,NC,Gates,0,,Gates,0
37075,NC,Graham,1,0,Graham,0
37077,NC,Granville,3,0,Granville,0
37079,NC,Greene,1,1,Greene,1
37081,NC,Guilford,4,0.75,Guilford,3
37083,NC,Halifax,1,0,Halifax,0
37085,NC,Harnett,3,0,Harnett,0
37087,NC,Haywood,4,0.25,Haywood,1
37089,NC,Henderson,4,0.25,Henderson,1
37091,NC,Hertford,0,,Hertford,0
37093,NC,Hoke,1,0,Hoke,0
37095,NC,Hyde,0,,Hyde,0
37097,NC,Iredell,8,0,Iredell,0
37099,NC,Jackson,4,0.5,Jackson,2
37101,NC,Johnston,3,0,Johnston,0
37103,NC,Jones,0,,Jones,0
37105,NC,Lee,0,,Lee,0
37107,NC,Lenoir,1,1,Lenoir,1
37109,NC,Lincoln,3,0.667,Lincoln,2
37111,NC,McDowell,1,1,McDowell,1
37113,NC,Macon,1,0,Macon,0
37115,NC,Madison,3,0,Madison,0
37117,NC,Martin,2,0,Martin,0
37119,NC,Mecklenburg,16,0.125,Mecklenburg,2
37121,NC,Mitchell,2,0,Mitchell,0
37123,NC,Montgomery,2,0,Montgomery,0
37125,NC,Moore,3,0,Moore,0
37127,NC,Nash,1,0,Nash,0
37129,NC,New Hanover,4,0,New Hanover,0
37131,NC,Northampton,0,,Northampton,0
37133,NC,Onslow,3,0.333,Onslow,1
37135,NC,Orange,6,0.333,Orange,2
37137,NC,Pamlico,1,0,Pamlico,0
37139,NC,Pasquotank,1,0,Pasquotank,0
37141,NC,Pender,1,0,Pender,0
37143,NC,Perquimans,0,,Perquimans,0
37145,NC,Person,1,0,Person,0
37147,NC,Pitt,6,0.167,Pitt,1
37149,NC,Polk,2,1,Polk,2
37151,NC,Randolph,3,0,Randolph,0
37153,NC,Richmond,1,1,Richmond,1
37155,NC,Robeson,1,0,Robeson,0
37157,NC,Rockingham,4,0.75,Rockingham,3
37159,NC,Rowan,4,0.25,Rowan,1
37161,NC,Rutherford,3,0,Rutherford,0
37163,NC,Sampson,1,0,Sampson,0
37165,NC,Scotland,1,0,Scotland,0
37167,NC,Stanly,2,0.5,Stanly,1
37169,NC,Stokes,2,0.5,Stokes,1
37171,NC,Surry,4,0,Surry,0
37173,NC,Swain,3,0,Swain,0
37175,NC,Transylvania,1,0,Transylvania,0
37177,NC,Tyrrell,0,,Tyrrell,0
37179,NC,Union,2,0.5,Union,1
37181,NC,Vance,1,0,Vance,0
37183,NC,Wake,14,0.286,Wake,4
37185,NC,Warren,1,0,Warren,0
37187,NC,Washington,1,0,Washington,0
37189,NC,Watauga,4,0.25,Watauga,1
37191,NC,Wayne,1,0,Wayne,0
37193,NC,Wilkes,1,1,Wilkes,1
37195,NC,Wilson,3,0.667,Wilson,2
37197,NC,Yadkin,3,0,Yadkin,0
37199,NC,Yancey,1,1,Yancey,1